Title,Year,Country,First_Author_First,Predicted_First_Gender,Last_Author_First,Predicted_Last_Gender,MeSH_Clean
Prognosis of Cardiac Arrest-Peri-arrest and Post-arrest Considerations.,2023,United States,Brian,male,Christopher,male,"['Humans', 'Prognosis', 'Electroencephalography', 'Heart Arrest']"
Focused Ultrasonography in Cardiac Arrest.,2023,United States,Matthew,male,David,male,"['Humans', 'Ultrasonography', 'Echocardiography', 'Echocardiography, Transesophageal', 'Emergency Service, Hospital', 'Heart Arrest']"
Proactive Variant Effect Mapping Aids Diagnosis in Pediatric Cardiac Arrest.,2023,Canada,Brendan,male,Victoria,female,"['Humans', 'Child', 'Heart Arrest', 'Death, Sudden, Cardiac']"
How I use ultrasound in cardiac arrest.,2023,France,Adrian,male,Chiara,female,"['Humans', 'Heart Arrest', 'Ultrasonography', 'Cardiopulmonary Resuscitation', 'Out-of-Hospital Cardiac Arrest']"
Mechanical Cardiopulmonary Resuscitation During In-Hospital Cardiac Arrest.,2023,United States,Oscar,male,Saket,unknown,"['Humans', 'Heart Arrest', 'Cardiopulmonary Resuscitation', 'Hospitals', 'Emergency Medical Services']"
Can machine learning predict recurrent cardiac arrest?,2023,United States,Jason,male,Jason,male,"['Humans', 'Heart Arrest', 'Machine Learning']"
Managing Cardiac Arrest Using Ultrasound.,2023,Jersey,Michael,male,Stephen,male,"['Humans', 'Heart Arrest', 'Ultrasonography', 'Cardiopulmonary Resuscitation']"
Brain imaging after cardiac arrest.,2023,United States,Rachel,female,Karen,female,"['Humans', 'Reproducibility of Results', 'Retrospective Studies', 'Brain', 'Heart Arrest', 'Neuroimaging', 'Prognosis']"
Management of cardiac arrest in the cardiac catheterisation laboratory: guidelines tailored to place and occasion.,2022,United States,Peter,male,Peter,male,"['Cardiac Catheterization', 'Heart Arrest', 'Humans', 'Ventricular Fibrillation']"
Heartbeat: improving outcomes after out-of-hospital cardiac arrest.,2023,United States,Catherine,female,Catherine,female,"['Humans', 'Heart Rate', 'Out-of-Hospital Cardiac Arrest']"
Echocardiography in cardiac arrest: An emergency medicine review.,2018,United States,Brit,female,Alex,male,"['Echocardiography', 'Heart Arrest', 'Humans', 'Point-of-Care Systems']"
Neuroprognostication after cardiac arrest: what the cardiologist should know.,2023,Denmark,Daniel,male,Daniel,male,"['Humans', 'Biomarkers', 'Cardiologists', 'Coma', 'Heart Arrest', 'Prognosis']"
"In out-of-hospital cardiac arrest patients, does the description of any specific symptoms to the emergency medical dispatcher improve the accuracy of the diagnosis of cardiac arrest: a systematic review of the literature.",2011,Canada,Christian,male,Maaret,female,"['Cardiopulmonary Resuscitation', 'Emergency Medical Service Communication Systems', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Reproducibility of Results']"
In-Laboratory Cardiac Arrest: A Distinct Event Deserving Dedicated Study.,2022,United States,Matthew,male,Matthew,male,"['Humans', 'Treatment Outcome', 'Heart Arrest', 'Cardiopulmonary Resuscitation', 'Out-of-Hospital Cardiac Arrest']"
Refractory in-hospital cardiac arrest - No time to waste.,2022,Denmark,Jacob,male,Jesper,male,"['Cardiopulmonary Resuscitation', 'Heart Arrest', 'Hospitals', 'Humans']"
Investigation of Unexplained Cardiac Arrest: Phenotyping and Genetic Testing.,2023,Saudi Arabia,Abdulelah,unknown,Wael,male,"['Humans', 'Heart Arrest', 'Genetic Testing', 'Ventricular Fibrillation', 'Heart', 'Magnetic Resonance Imaging', 'Death, Sudden, Cardiac']"
Transoesophageal echocardiography in cardiac arrest: A systematic review.,2021,United Kingdom,Laila,female,Robert,male,"['Cardiopulmonary Resuscitation', 'Echocardiography, Transesophageal', 'Humans', 'Out-of-Hospital Cardiac Arrest']"
Sudden Cardiac Arrest in Sport: Reactive Success Versus Proactive Failure?,2022,United States,Michael,male,John,male,"['Death, Sudden, Cardiac', 'Heart Arrest', 'Humans', 'Sports']"
Coronary angiography after cardiac arrest: Toward a nuanced approach.,2021,United States,Marinos,male,Jason,male,"['Coronary Angiography', 'Humans', 'Out-of-Hospital Cardiac Arrest']"
Point-of-care cardiac ultrasound during cardiac arrest: a reliable tool for termination of resuscitation?,2020,United States,Joshua,male,Marina,female,"['Cardiopulmonary Resuscitation', 'Heart Arrest', 'Humans', 'Point-of-Care Systems', 'Prognosis', 'Ultrasonography']"
Neurological Prognostication After Cardiac Arrest: Two Sides of the Same Coin But What About the Edge?,2023,Belgium,Nicolas,male,Nicolas,male,"['Humans', 'Heart Arrest', 'Nervous System Diseases']"
The current challenges of cardiac arrest: Post cardiac arrest management.,2015,Thailand,Yuda,unknown,Paolo,male,"['Cardiopulmonary Resuscitation', 'Disease Management', 'Extracorporeal Circulation', 'Heart Arrest', 'Humans', 'Hypothermia, Induced']"
NOMI after cardiac arrest. Could refined diagnostics improve outcome?,2020,Sweden,Ulf,male,Thomas,male,"['Heart Arrest', 'Humans', 'Mesenteric Ischemia', 'Risk Factors']"
In-hospital cardiac arrest: are we overlooking a key distinction?,2018,Israel,Ari,male,Katherine,female,"['Adult', 'Aged', 'Aged, 80 and over', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Out-of-Hospital Cardiac Arrest', 'Practice Guidelines as Topic', 'Survival Rate', 'Treatment Outcome', 'United States']"
Feasibility of focused cardiac ultrasound during cardiac arrest in the emergency department.,2021,United States,Jessica,female,Zachary,male,"['Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'Emergency Service, Hospital', 'Feasibility Studies', 'Female', 'Heart Arrest', 'Humans', 'Middle Aged', 'Prospective Studies']"
Immediate Coronary Angiogram in Out-of-Hospital Cardiac Arrest: Looking for a Miracle.,2022,France,Christian,male,Georgios,male,"['Cardiopulmonary Resuscitation', 'Coronary Angiography', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Registries', 'Treatment Outcome']"
Sudden cardiac arrest in athletes and strategies to optimize preparedness.,2023,United States,Aneeq,unknown,Jeffrey,male,"['Humans', 'Cardiopulmonary Resuscitation', 'Emergencies', 'Heart Arrest', 'Death, Sudden, Cardiac', 'Athletes', 'Defibrillators', 'Out-of-Hospital Cardiac Arrest', 'Emergency Medical Services']"
The International Cardiac Arrest Research Consortium Electroencephalography Database.,2023,China,Edilberto,unknown,M,unknown,"['Humans', 'Adolescent', 'Coma', 'Retrospective Studies', 'Prospective Studies', 'Heart Arrest', 'Electroencephalography']"
Survivorship After Sudden Cardiac Arrest: Establishing a Framework for Understanding and Care Optimization.,2021,United States,Troy,male,Erica,female,"['Death, Sudden, Cardiac', 'Heart Arrest', 'Humans', 'Survivorship']"
On the path to artificial intelligence analysis of brain CT after cardiac arrest.,2023,Germany,Martin,male,Christoph,male,"['Humans', 'Artificial Intelligence', 'Heart Arrest', 'Brain', 'Neuroimaging', 'Tomography, X-Ray Computed']"
Transesophageal echocardiography in patients with cardiac arrest: from high-quality chest compression to effective resuscitation.,2021,Italy,Emanuele,male,Donato,male,"['Cardiopulmonary Resuscitation', 'Echocardiography, Transesophageal', 'Emergency Service, Hospital', 'Heart Arrest', 'Humans']"
Near-Infrared Spectroscopy in Pediatric Cardiac Arrest: A Piece of the Clinical Picture.,2024,United States,Gurpreet,mostly_male,Marc,male,"['Child', 'Humans', 'Spectroscopy, Near-Infrared', 'Heart Arrest']"
Refractory Shockable Rhythms: The Exception That Proves the Rule After Out-of-Hospital Cardiac Arrest.,2023,United States,Joshua,male,Joshua,male,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Treatment Outcome', 'Electric Countershock', 'Heart Rate']"
Prognostication for Sudden Cardiac Arrest Patients Achieving ROSC.,2021,United States,James,male,Sanjiv,male,"['Death, Sudden, Cardiac', 'Humans', 'Out-of-Hospital Cardiac Arrest']"
Considerations for the Use of Intracardiac Echocardiography in Cardiac Arrest.,2020,United States,Nathaniel,male,Erik,male,"['Atrial Fibrillation', 'Cardiopulmonary Resuscitation', 'Echocardiography', 'Echocardiography, Transesophageal', 'Heart Arrest', 'Humans']"
Echocardiography in cardiac arrest: strengths and limitations.,2022,Italy,Chiara,female,Adriano,male,"['Humans', 'Heart Arrest', 'Echocardiography', 'Cardiopulmonary Resuscitation']"
Pediatric unexplained cardiac arrest: When no answer is also an answer.,2020,United States,Michael,male,Allison,female,"['Adolescent', 'Canada', 'Child', 'Death, Sudden, Cardiac', 'Heart Arrest', 'Humans']"
Ultrasound in postresuscitation care: a narrative review.,2022,,Chia-Yu,andy,Chien-Hua,unknown,"['Cardiopulmonary Resuscitation', 'Heart Arrest', 'Humans', 'Resuscitation', 'Ultrasonography']"
Prognostication with point-of-care echocardiography during cardiac arrest: A systematic review.,2020,United States,Joshua,male,Michelle,female,"['Adult', 'Echocardiography', 'Heart Arrest', 'Humans', 'Point-of-Care Systems', 'Resuscitation', 'Ultrasonography']"
Cardiac arrest: an infrequent radiologic diagnosis.,2015,Spain,Albert,male,Javier,mostly_male,"['Aged, 80 and over', 'Contrast Media', 'Diagnosis, Differential', 'Fatal Outcome', 'Heart Arrest', 'Humans', 'Male', 'Tomography, X-Ray Computed']"
Triglyceride-glucose index is associated with the occurrence and prognosis of cardiac arrest: a multicenter retrospective observational study.,2023,China,Yang,andy,Shen,andy,"['Humans', 'Critical Illness', 'Prospective Studies', 'Retrospective Studies', 'Prognosis', 'Glucose', 'Heart Arrest', 'Triglycerides', 'Blood Glucose', 'Risk Factors', 'Biomarkers']"
The Sound of Silence.,2018,Jersey,Shannon,mostly_female,Shannon,mostly_female,"['Heart Arrest', 'Humans', 'Physicians', 'Ultrasonography']"
"Brain arrest, cardiac arrest and uncertainties in defining death.",2007,,Sam,mostly_male,Sam,mostly_male,"['Brain Death', 'Brazil', 'Child', 'Heart Arrest', 'Humans', 'Intensive Care Units, Pediatric']"
Quantitative Pupillometry: A Prognostic Tool for Cardiac Arrest and Refractory Cardiogenic Shock Undergoing VA-ECMO Therapy.,2020,United States,Charlene,female,Charlene,female,"['Extracorporeal Membrane Oxygenation', 'Heart Arrest', 'Humans', 'Prognosis', 'Pupil', 'Shock, Cardiogenic']"
Overcoming limitations in out-of-hospital cardiac arrest extracorporeal cardiopulmonary resuscitation: optimizing assessment and patient selection for future clinical trials.,2023,France,Edouard,male,Nityanand,unknown,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Patient Selection', 'Clinical Trials as Topic']"
Ethics of Wearable-Based Out-of-Hospital Cardiac Arrest Detection.,2024,Netherlands,Marijn,andy,Marieke,female,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Wearable Electronic Devices', 'Informed Consent', 'Confidentiality', 'Predictive Value of Tests', 'Beneficence', 'Reproducibility of Results', 'Equipment Design']"
Sudden Cardiac Arrest in a Dental Patient Awaiting Examination.,2023,Thailand,Thunshuda,unknown,Ryo,andy,"['Humans', 'Cardiopulmonary Resuscitation', 'Heart Arrest', 'Death, Sudden, Cardiac', 'Defibrillators', 'Emergency Medical Services']"
Comparing pre-hospital clinical diagnosis of pediatric out-of-hospital cardiac arrest with etiology by coroner's diagnosis.,2007,Canada,Marcus,male,Ian,male,"['Adolescent', 'Autopsy', 'Child', 'Child, Preschool', 'Coroners and Medical Examiners', 'Female', 'Heart Arrest', 'Humans', 'Infant', 'Male', 'Prospective Studies', 'Wounds and Injuries']"
Editorial commentary: Cardiac arrest and the young: Will we ever be able to predict the unpredictable?,2021,United States,Jason,male,Jason,male,"['Heart Arrest', 'Humans']"
Artificial Intelligence and Machine Learning Applications in Sudden Cardiac Arrest Prediction and Management: A Comprehensive Review.,2023,Qatar,Sarah,female,Jamil,male,"['Humans', 'Artificial Intelligence', 'Cardiopulmonary Resuscitation', 'Death, Sudden, Cardiac', 'Out-of-Hospital Cardiac Arrest', 'Machine Learning']"
Outcome prediction of cardiac arrest with automatically computed gray-white matter ratio on computed tomography images.,2024,,Hsinhan,unknown,Weichung,unknown,"['Humans', 'White Matter', 'Retrospective Studies', 'Gray Matter', 'Out-of-Hospital Cardiac Arrest', 'Tomography, X-Ray Computed', 'Prognosis']"
Critical care ultrasound in cardiac arrest. Technological requirements for performing the SESAME-protocol--a holistic approach.,2015,,Daniel,male,Manu,male,"['Abdomen', 'Clinical Protocols', 'Critical Care', 'Echocardiography', 'Fluid Therapy', 'Heart Arrest', 'Humans', 'Lung', 'Pericardium', 'Pneumothorax', 'Pulmonary Embolism']"
"""Real-World"" Application of Thrombolysis in Cardiac Arrest.",2020,Georgia,Susan,female,Daniel,male,"['Cohort Studies', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Retrospective Studies', 'Thrombolytic Therapy', 'Tissue Plasminogen Activator']"
Implementing an intelligent diagnosis and treatment system for in-hospital cardiac arrest in the Utstein style: a multi-center case study.,2024,China,Yan,male,Yingqi,andy,"['Humans', 'Heart Arrest', 'Cardiopulmonary Resuscitation', 'Hospitals', 'Monte Carlo Method']"
A Newborn with Cardiac Arrest and Abdominal Distention.,2023,United States,Paige,andy,Ryan,mostly_male,"['Infant, Newborn', 'Humans', 'Heart Arrest', 'Digestive System Abnormalities']"
Artificial intelligence algorithm for predicting cardiac arrest using electrocardiography.,2020,,Joon-Myoung,unknown,Byung-Hee,unknown,"['Aged', 'Algorithms', 'Deep Learning', 'Electrocardiography', 'Female', 'Heart Arrest', 'Hospitalization', 'Humans', 'Intensive Care Units', 'Male', 'Middle Aged', 'Patient Transfer', 'Retrospective Studies']"
CT angiography findings in sudden cardiac arrest.,2021,Belgium,Bruno,male,Bruno,male,"['Computed Tomography Angiography', 'Coronary Angiography', 'Death, Sudden, Cardiac', 'Heart Arrest', 'Humans']"
Usefulness of emergency ultrasound in nontraumatic cardiac arrest.,2011,Italy,Giovanni,male,Giovanni,male,"['Cardiopulmonary Resuscitation', 'Diagnosis, Differential', 'Heart Arrest', 'Humans', 'Lung', 'Point-of-Care Systems', 'Ultrasonography']"
"Citizen first responders dispatched using smartphone app to suspected cardiac arrest, a meaningful experience that can save a live.",2022,France,Guillaume,male,Lionel,male,"['Cardiopulmonary Resuscitation', 'Emergency Responders', 'Humans', 'Mobile Applications', 'Out-of-Hospital Cardiac Arrest']"
Sudden Cardiac Arrest During Sports in Children and Adolescents.,2024,Germany,Philipp,male,Eloi,male,"['Child', 'Adolescent', 'Humans', 'Death, Sudden, Cardiac', 'Heart Arrest', 'Sports']"
Is your unconscious patient in cardiac arrest? A New protocol for telephonic diagnosis by emergency medical call-takers: A national study.,2020,Singapore,Desmond,male,Marcus,male,"['Cardiopulmonary Resuscitation', 'Emergency Medical Service Communication Systems', 'Emergency Medical Services', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Prospective Studies', 'Unconsciousness']"
Smart Cardiac Framework for an Early Detection of Cardiac Arrest Condition and Risk.,2021,India,Apeksha,unknown,Suresh,mostly_male,"['Bayes Theorem', 'Heart Arrest', 'Humans', 'Machine Learning', 'Neural Networks, Computer', 'Support Vector Machine']"
Does immediate coronary angiography improve survival following out-of-hospital cardiac arrest?,2022,Canada,Hashim,male,Hans,male,"['Cardiopulmonary Resuscitation', 'Coronary Angiography', 'Electrocardiography', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Time Factors']"
Optimizing survival outcomes for adult patients with nontraumatic cardiac arrest [digest].,2016,United States,Julianna,female,Milana,female,"['Advanced Cardiac Life Support', 'Algorithms', 'Diagnosis, Differential', 'Heart Arrest', 'Hemodynamics', 'Humans', 'Hyperkalemia', 'Hypothermia', 'Hypothermia, Induced', 'Opioid-Related Disorders', 'Patient Outcome Assessment', 'Pulmonary Embolism', 'Resuscitation']"
Prognostic Value of EEG in Patients after Cardiac Arrest-An Updated Review.,2018,United States,Wolfgang,male,Jerzy,male,"['Brain Injuries', 'Electroencephalography', 'Heart Arrest', 'Humans', 'Middle Aged', 'Neurologic Examination', 'Prognosis', 'Seizures', 'Status Epilepticus']"
Just the facts: transesophageal echocardiography in cardiac arrest.,2023,Canada,Christine,female,Tomislav,male,"['Humans', 'Echocardiography, Transesophageal', 'Heart Arrest', 'Cardiopulmonary Resuscitation']"
Pre-arrest comorbidity burden and the future risk of out-of-hospital cardiac arrest in Korean adults.,2023,,Seok-In,unknown,Won,mostly_male,"['Humans', 'Adult', 'Cardiopulmonary Resuscitation', 'Case-Control Studies', 'Out-of-Hospital Cardiac Arrest', 'Comorbidity', 'Republic of Korea', 'Registries']"
Detecting cardiac states with wearable photoplethysmograms and implications for out-of-hospital cardiac arrest detection.,2024,Canada,Mahsa,female,Calvin,male,"['Humans', 'Photoplethysmography', 'Out-of-Hospital Cardiac Arrest', 'Wearable Electronic Devices', 'Monitoring, Physiologic']"
Unveiling pseudo-pulseless electrical activity (pseudo-PEA) in ultrasound-integrated infant resuscitation.,2023,United States,Belinda,female,Yogen,unknown,"['Infant', 'Adult', 'Infant, Newborn', 'Humans', 'Pisum sativum', 'Heart Arrest', 'Ultrasonography', 'Cardiopulmonary Resuscitation', 'Point-of-Care Testing']"
Spiked Helmet Sign in the Inferior Leads.,2023,China,Yousif,male,Gan-Xin,unknown,"['Humans', 'Head Protective Devices', 'Heart Arrest', 'Cardiopulmonary Resuscitation', 'Electrocardiography']"
Frequency of adjustment with comorbidity and illness severity scores and indices in cardiac arrest research.,2017,Australia,Pieter,male,Jon,male,"['Comorbidity', 'Databases, Factual', 'Heart Arrest', 'Humans', 'Severity of Illness Index']"
External validation of cardiac arrest-specific prognostication scores developed for early prognosis estimation after out-of-hospital cardiac arrest in a Korean multicenter cohort.,2022,,Wan,andy,Yong,mostly_male,"['Adult', 'Cardiopulmonary Resuscitation', 'Humans', 'Hypothermia', 'Hypothermia, Induced', 'Out-of-Hospital Cardiac Arrest', 'Prognosis', 'Quality of Life']"
Long-Term Outcomes for Out-of-Hospital Cardiac Arrest in Elderly Patients: An Analysis of Cardiac Arrest Registry to Enhance Survival Data Linked to Medicare Files.,2022,Georgia,Paul,male,Robert,male,"['Humans', 'Aged', 'United States', 'Out-of-Hospital Cardiac Arrest', 'Patient Discharge', 'Medicare', 'Aftercare', 'Registries', 'Retrospective Studies']"
Ultrasonography: A Useful Adjunct in Cardiac Arrest.,2020,Jersey,Michael,male,Stephen,male,"['Cardiopulmonary Resuscitation', 'Echocardiography', 'Heart Arrest', 'Humans', 'Point-of-Care Testing']"
Seeing the heart of the problem: transesophageal echocardiography in cardiac arrest: a practical review.,2023,Mexico,Trenton,male,Isaac,male,"['Humans', 'Echocardiography, Transesophageal', 'Heart Arrest']"
Pulseless Electrical Activity: Detection of Underlying Causes in a Prehospital Setting.,2021,Belgium,Senne,unknown,Philippe,male,"['Cerebrovascular Circulation', 'Clinical Decision-Making', 'Electrocardiography', 'Emergency Medical Services', 'Heart Arrest', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Oximetry', 'Ultrasonography']"
Toward analyzing and synthesizing previous research in early prediction of cardiac arrest using machine learning based on a multi-layered integrative framework.,2018,,Samaneh,unknown,Hassan,male,"['Algorithms', 'Databases, Factual', 'Decision Making', 'Heart Arrest', 'Humans', 'Medical Informatics', 'Proportional Hazards Models', 'Reproducibility of Results', 'Research', 'Support Vector Machine']"
"Response to ""Echocardiography in cardiac arrest: strengths and limitations"".",2022,,Wan-Ching,unknown,Yi-Ju,unknown,"['Humans', 'Heart Arrest', 'Echocardiography']"
Femoral Arterial Doppler Use During Active Cardiopulmonary Resuscitation.,2023,United States,Romolo,male,Timothy,male,"['Humans', 'Cardiopulmonary Resuscitation', 'Heart Arrest', 'Ultrasonography, Doppler', 'Echocardiography', 'Data Collection', 'Out-of-Hospital Cardiac Arrest']"
Intra-arrest transoesophageal echocardiographic findings and resuscitation outcomes.,2020,,Woo,andy,Sung,andy,"['Adult', 'Aged', 'Cardiopulmonary Resuscitation', 'Echocardiography', 'Echocardiography, Transesophageal', 'Emergency Service, Hospital', 'Female', 'Humans', 'Male', 'Out-of-Hospital Cardiac Arrest']"
In-hospital cardiac arrest rhythm analysis by anesthesiologists: a diagnostic performance study.,2023,France,Jordan,male,Antoine,male,"['Humans', 'Prospective Studies', 'Anesthesiologists', 'Heart Arrest', 'Outcome Assessment, Health Care', 'Hospitals', 'Cardiopulmonary Resuscitation']"
Echocardiographic evaluation of cardiac recovery after refractory out-of-hospital cardiac arrest.,2020,United States,Rajat,unknown,Demetris,unknown,"['Echocardiography', 'Humans', 'Minnesota', 'Out-of-Hospital Cardiac Arrest', 'Retrospective Studies', 'Stroke Volume', 'Ventricular Function, Left']"
Serum neurofilament light chain as a predictive marker of neurologic outcome after cardiac arrest: a meta-analysis.,2023,China,Shu,andy,Yong,mostly_male,"['Humans', 'Intermediate Filaments', 'Heart Arrest', 'Biomarkers', 'ROC Curve', 'Prognosis']"
Post cardiac arrest syndrome: a review of therapeutic strategies.,2011,Australia,Dion,male,David,male,"['Animals', 'Cardiovascular Agents', 'Heart Arrest', 'Humans', 'Hypothermia, Induced', 'Oxygen Inhalation Therapy', 'Patient Care Team', 'Syndrome']"
Antiarrhythmia drugs for cardiac arrest: a systemic review and meta-analysis.,2013,,Yu,andy,Lei,andy,"['Anti-Arrhythmia Agents', 'Heart Arrest', 'Humans', 'Observational Studies as Topic', 'Randomized Controlled Trials as Topic']"
Just the facts: point-of-care ultrasound in cardiac arrest.,2022,Canada,Michael,male,Paul,male,"['Cardiopulmonary Resuscitation', 'Heart Arrest', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Point-of-Care Systems', 'Ultrasonography']"
Utilization of Non-Gated Chest Computed Tomography Scans in Predicting Acute Coronary Occlusion in Out-of-Hospital Cardiac Arrest.,2022,United States,Ahmad,male,Ashish,male,"['Constriction, Pathologic', 'Coronary Angiography', 'Coronary Occlusion', 'Coronary Stenosis', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Predictive Value of Tests', 'Retrospective Studies', 'Tomography, X-Ray Computed']"
"Integration of electrical, mechanical, and hemodynamic information prior to coronary angiography in cardiac arrest.",2022,United States,Saraschandra,unknown,Saraschandra,unknown,"['Coronary Angiography', 'Hemodynamics', 'Humans', 'Out-of-Hospital Cardiac Arrest']"
Pediatric Out-of-Hospital Cardiac Arrest Characteristics and Their Association With Survival and Neurobehavioral Outcome.,2016,United States,Kathleen,female,Frank,male,"['Adolescent', 'Cardiopulmonary Resuscitation', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Female', 'Follow-Up Studies', 'Humans', 'Hypothermia, Induced', 'Infant', 'Infant, Newborn', 'Male', 'Neuropsychological Tests', 'Out-of-Hospital Cardiac Arrest', 'Prognosis', 'Respiration, Artificial', 'Survival Rate']"
Automated cardiac arrest detection using a photoplethysmography wristband: algorithm development and validation in patients with induced circulatory arrest in the DETECT-1 study.,2024,Netherlands,Roos,female,Judith,female,"['Adult', 'Humans', 'Prospective Studies', 'Photoplethysmography', 'Heart Arrest', 'Arrhythmias, Cardiac', 'Algorithms']"
Review of Hypothermia Protocol and Timing of the Echocardiogram.,2021,United States,Issa,male,Rami,male,"['Humans', 'Hypothermia, Induced', 'Out-of-Hospital Cardiac Arrest', 'Prognosis']"
Resuscitative transesophageal echocardiography in the emergency department: a single-centre case series.,2023,Canada,Fraser,male,Jordan,male,"['Humans', 'Female', 'Aged', 'Male', 'Echocardiography, Transesophageal', 'Critical Illness', 'Heart Arrest', 'Emergency Service, Hospital', 'Cardiopulmonary Resuscitation']"
Protocol for immunophenotyping out-of-hospital cardiac arrest patients.,2024,Japan,Kohei,male,Alexandra,female,"['Humans', 'Leukocytes, Mononuclear', 'Immunophenotyping', 'Out-of-Hospital Cardiac Arrest', 'Cryopreservation']"
Coronary angiography or not after cardiac arrest without ST segment elevation: A systematic review and meta-analysis.,2020,China,Meng-Chang,unknown,Ru-Rong,unknown,"['Coronary Angiography', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Survival Rate', 'Time Factors']"
An uncommon case of Wellen's syndrome.,2023,China,Haoran,andy,Jian,andy,"['Humans', 'Electrocardiography', 'Constriction, Pathologic', 'Syndrome', 'Chest Pain', 'Heart Arrest']"
Utilization of Point-of-care Echocardiography in Cardiac Arrest: A Cross-sectional Pilot Study.,2021,Jersey,Yanika,unknown,Kenton,male,"['Adult', 'Cross-Sectional Studies', 'Echocardiography', 'Heart Arrest', 'Humans', 'Pilot Projects', 'Point-of-Care Systems']"
Asystole.,2010,United States,Mary,mostly_female,Michele,female,"['Aged, 80 and over', 'Atrioventricular Block', 'Electrocardiography', 'Heart Arrest', 'Humans', 'Male', 'Stroke Volume']"
Predicting Risk of Cardiac Arrest in Young Asian Americans: Insights from an Artificial Neural Network Analysis of the Nationwide Cohort.,2023,India,Rupak,unknown,Rajesh,male,"['Young Adult', 'Humans', 'Female', 'United States', 'Adult', 'Adolescent', 'Male', 'Asian', 'Heart Arrest', 'Death, Sudden, Cardiac', 'Coronary Artery Bypass', 'Neural Networks, Computer']"
Diagnostic ability of a newly developed system for recognition of cardiac arrests.,2021,Japan,Toshihiro,male,Taku,male,"['Adolescent', 'Cardiopulmonary Resuscitation', 'Defibrillators', 'Emergency Medical Services', 'Hospitals', 'Humans', 'Out-of-Hospital Cardiac Arrest']"
