Title,Year,Country,First_Author_First,Predicted_First_Gender,Last_Author_First,Predicted_Last_Gender,MeSH_Clean
Biomarkers of endometriosis.,2023,India,Anuja,female,Pawan,mostly_male,"['Female', 'Humans', 'Endometriosis', 'Pelvis', 'Biomarkers']"
Patient Blood Management programs for post-partum hemorrhage.,2022,United States,Carlos,male,Ryu,male,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Blood Transfusion', 'Anemia', 'Hemoglobins', 'Postpartum Period', 'Blood Loss, Surgical']"
Point-of-care coagulation testing for postpartum haemorrhage.,2022,,Peter,male,Peter,male,"['Female', 'Humans', 'Postpartum Hemorrhage', 'Thrombelastography', 'Point-of-Care Systems', 'Blood Coagulation', 'Hemostatics']"
Neuroimaging Studies of Primary Dysmenorrhea.,2018,,Intan,unknown,Li-Fen,andy,"['Brain', 'Brain Mapping', 'Dysmenorrhea', 'Female', 'Humans', 'Neuroimaging', 'Pain Measurement']"
Risk assessment tools to predict postpartum hemorrhage.,2022,United States,Holly,female,Holly,female,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Risk Assessment', 'Risk Factors']"
"Postpartum hemorrhage: prevention, diagnosis and non-surgical management.",2020,Brazil,Álvaro,male,Laíses,unknown,"['Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy']"
Pathology Out of Place.,2022,United States,Matthew,male,Amanda,female,"['Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Intestinal Obstruction']"
Predicting risk of postpartum haemorrhage: a systematic review.,2021,,C,unknown,M,unknown,"['Female', 'Humans', 'Postpartum Hemorrhage', 'Predictive Value of Tests', 'Pregnancy', 'Prenatal Care', 'Prenatal Diagnosis', 'Risk Factors']"
Painful Periods in the Adolescent Girl.,2020,,Olga,female,Hina,unknown,"['Adolescent', 'Dysmenorrhea', 'Female', 'Humans', 'Primary Health Care']"
Abdominal Wall Endometriosis.,2018,,Christina,female,Chandrew,unknown,"['Abdominal Wall', 'Adult', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Magnetic Resonance Imaging']"
Herlyn-Werner-Wunderlich syndromne: case review and report of the literature.,2021,Colombia,Oscar,male,Ivonne,female,"['Abnormalities, Multiple', 'Adolescent', 'Child', 'Dysmenorrhea', 'Female', 'Humans', 'Syndrome', 'Systematic Reviews as Topic', 'Urogenital Abnormalities', 'Uterus', 'Vagina']"
Dysmenorrhoea.,2006,,Sue,female,Sue,female,"['Culture', 'Dysmenorrhea', 'Female', 'Humans', 'Life Style', 'Practice Guidelines as Topic']"
ACOG Committee Opinion No. 760: Dysmenorrhea and Endometriosis in the Adolescent.,2018,,,unknown,,unknown,"['Adolescent', 'Anti-Inflammatory Agents, Non-Steroidal', 'Complementary Therapies', 'Contraceptives, Oral, Hormonal', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Symptom Assessment']"
Do polycystic ovary syndrome and endometriosis increase risk of venous thrombo-embolic disease?,2022,France,C,unknown,C,unknown,"['Female', 'Humans', 'Polycystic Ovary Syndrome', 'Endometriosis', 'Vascular Diseases']"
"Postpartum Hemorrhage: Wherefore Art Thou, Hyperfibrinolysis?",2020,United States,Alexander,male,Alexander,male,"['Blood Coagulation Disorders', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy', 'Retrospective Studies', 'Thrombelastography', 'Thrombolytic Therapy']"
Management of Postpartum Hemorrhage: Recommendations From FIGO.,2023,,Daniel,male,Leslie,mostly_female,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Oxytocics', 'Risk Factors']"
Postpartum hemorrhage assessment and targeted treatment.,2024,United States,Allison,female,Sharon,female,"['Humans', 'Postpartum Hemorrhage', 'Female', 'Pregnancy', 'Blood Transfusion', 'Tranexamic Acid']"
"Symptom tracking in endometriosis using digital technologies: Knowns, unknowns, and future prospects.",2023,,Katherine,female,Athanasios,male,"['Female', 'Humans', 'Endometriosis', 'Digital Technology', 'Chronic Pain', 'Health Personnel']"
A focus on the distinctions and current evidence of endometriosis in adolescents.,2018,Italy,Vincenzo,male,Bernadette,female,"['Adolescent', 'Chronic Pain', 'Delayed Diagnosis', 'Disease Progression', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Incidence', 'Randomized Controlled Trials as Topic', 'Risk Factors', 'Severity of Illness Index']"
Adolescent dysmenorrhea.,2004,France,Charles,male,Sihem,unknown,"['Adolescent', 'Adolescent Health Services', 'Dysmenorrhea', 'Female', 'Gynecology', 'Humans']"
The Treatment of Dysmenorrhea.,2017,United States,Sheryl,female,Sheryl,female,"['Adolescent', 'Adolescent Medicine', 'Amenorrhea', 'Contraceptives, Oral', 'Dysmenorrhea', 'Female', 'Humans', 'Medical History Taking', 'Menstrual Cycle', 'Reproductive Health']"
Classification of deep endometriosis (DE) including bowel endometriosis: From r-ASRM to #Enzian-classification.,2021,Germany,Jörg,male,Gernot,male,"['Endometriosis', 'Female', 'Humans', 'Retrospective Studies', 'Ureter', 'Urinary Bladder']"
Polycystic ovary syndrome: challenges in adolescence.,2010,Portugal,Ana,female,José,male,"['Adolescent', 'Algorithms', 'Female', 'Humans', 'Polycystic Ovary Syndrome']"
Is ultrasound useful in the diagnosis of adolescents with polycystic ovary syndrome?,2015,,Liana,female,Bina,female,"['Adolescent', 'Child', 'Female', 'Humans', 'Polycystic Ovary Syndrome', 'Ultrasonography']"
PCOS remains a diagnosis of exclusion: a concise review of key endocrinopathies to exclude.,2017,United Kingdom,Eleni,female,Harpal,mostly_male,"['Diagnosis, Differential', 'Female', 'Humans', 'Polycystic Ovary Syndrome']"
"It's never endometriosis, except when it's endometriosis.",2023,,Alessandro,male,Valentino,male,"['Female', 'Humans', 'Endometriosis']"
How should we diagnose and assess the severity of PPH in clinical trials?,2019,,Shireen,female,Shireen,female,"['Clinical Trials as Topic', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy', 'Severity of Illness Index']"
Quantification of blood loss for the diagnosis of postpartum hemorrhage: a systematic review and meta-analysis.,2023,Brazil,Mariana,female,Carlo,male,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage']"
"The Prevalence and Academic Impact of Dysmenorrhea in 21,573 Young Women: A Systematic Review and Meta-Analysis.",2019,Australia,Mike,male,Caroline,female,"['Absenteeism', 'Adolescent', 'Adult', 'Dysmenorrhea', 'Female', 'Humans', 'Prevalence', 'Schools', 'Severity of Illness Index', 'Students', 'Universities']"
"The ovarian ""string-of-pearls"" sign.",2019,United States,Janardhana,unknown,Jao,unknown,"['Diagnosis, Differential', 'Female', 'Humans', 'Polycystic Ovary Syndrome']"
Unveiling the Role of Artificial Intelligence (AI) in Polycystic Ovary Syndrome (PCOS) Diagnosis: A Comprehensive Review.,2024,India,Pulkit,unknown,Taruna,unknown,"['Polycystic Ovary Syndrome', 'Humans', 'Female', 'Artificial Intelligence', 'Machine Learning']"
Costs associated with postpartum hemorrhage care based on severity.,2023,United States,Gregory,male,Dena,female,"['Female', 'Humans', 'Pregnancy', 'Postpartum Hemorrhage', 'Health Care Costs']"
"Letter to the Editor from Teede: ""Clinical Practice Guidelines on the Diagnosis and Management of Polycystic Ovary Syndrome: A Systematic Review and Quality Assessment Study"".",2022,Australia,Helena,female,Jacqueline,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Markers of adult endometriosis detectable in adolescence.,2011,France,Charles,male,Dominique,andy,"['Adolescent', 'Adult', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans']"
Diagnosis of rectovaginal endometriosis.,2008,,Mauricio,male,Manoel,male,"['Endometriosis', 'Female', 'Humans', 'Rectal Diseases', 'Ultrasonography', 'Vaginal Diseases']"
Accessory cavitated uterine malformation: Enhancing awareness about this unexplored perpetrator of dysmenorrhea.,2023,India,Rana,female,Priya,female,"['Female', 'Uterus', 'Humans', 'Dysmenorrhea', 'Quality of Life', 'Urogenital Abnormalities', 'Pelvic Pain']"
Imaging of Antepartum and Postpartum Hemorrhage: Contemporary Classification of Placenta Previa.,2024,Israel,Yinka,unknown,Yinka,unknown,"['Female', 'Humans', 'Pregnancy', 'Magnetic Resonance Imaging', 'Placenta Previa', 'Postpartum Hemorrhage', 'Ultrasonography, Prenatal']"
"Dysmenorrhea, Workability, and Absenteeism in Australian Women.",2023,Australia,Ensieh,unknown,Susan,female,"['Female', 'Humans', 'Dysmenorrhea', 'Absenteeism', 'Australia', 'Menstruation', 'Surveys and Questionnaires']"
"Placenta accreta spectrum: accreta, increta, and percreta.",2015,United States,Robert,male,Kelli,female,"['Adult', 'Blood Transfusion', 'Cesarean Section', 'Delivery, Obstetric', 'Female', 'Humans', 'Hysterectomy', 'Incidence', 'Infant, Newborn', 'Placenta Accreta', 'Placenta Previa', 'Postpartum Hemorrhage', 'Pregnancy', 'Risk Factors', 'Treatment Outcome', 'Ultrasonography, Prenatal']"
Anogenital distance and anti-Müllerian hormone combined improves the diagnosis of polycystic ovary syndrome.,2022,Spain,María,mostly_female,Alberto,male,"['Anal Canal', 'Anti-Mullerian Hormone', 'Case-Control Studies', 'Female', 'Humans', 'Polycystic Ovary Syndrome']"
PCOS phenotype focus: phenotype D under the magnifying glass.,2024,Italy,Samuel,male,Vittorio,male,"['Humans', 'Polycystic Ovary Syndrome', 'Female', 'Phenotype', 'Hyperandrogenism']"
Management of deep endometriosis.,2001,France,C,unknown,J,unknown,"['Endometriosis', 'Female', 'Humans', 'Ultrasonography']"
Clues to revising the conventional diagnostic algorithm for endometriosis.,2025,France,Andrew,male,Sofiane,male,"['Endometriosis', 'Humans', 'Female', 'Algorithms', 'Ultrasonography', 'Magnetic Resonance Imaging', 'Biomarkers']"
Bilateral Ovarian Endometriomas: A Case Report.,2022,Switzerland,Antonia,female,Andreas,male,"['Female', 'Humans', 'Endometriosis']"
Bowel Endometriosis Mimicking Crohn Disease.,2021,France,Arthur,male,Mathurin,male,"['Crohn Disease', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans']"
"Anti-Müllerian hormone for screening, diagnosis, evaluation, and prediction: A systematic review and expert opinions.",2024,Japan,Akira,mostly_male,Kazuhiro,male,"['Female', 'Humans', 'Anti-Mullerian Hormone', 'Polycystic Ovary Syndrome', 'Ovarian Reserve']"
Inner myometrial laceration: Case report and literature review.,2020,Malaysia,Zahar,unknown,Sakinah,unknown,"['Female', 'Humans', 'Lacerations', 'Myometrium', 'Postpartum Hemorrhage', 'Pregnancy', 'Uterus']"
Diagnosing endometriosis in primary care: clinical update.,2015,,Jennifer,female,David,male,"['Diagnosis, Differential', 'Disease Management', 'Endometriosis', 'Female', 'Humans', 'Primary Health Care']"
Imaging of intestinal involvement in endometriosis.,2013,France,A,unknown,M,unknown,"['Endometriosis', 'Female', 'Humans', 'Intestinal Diseases', 'Magnetic Resonance Imaging', 'Tomography, X-Ray Computed', 'Ultrasonography']"
Polycystic ovary syndrome (PCOS): moving from characterization to interventions.,2019,Australia,Linda,female,Julie,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Enhancing the accuracy of polycystic ovary syndrome diagnosis.,2023,Singapore,Veronique,female,Veronique,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Postpartum Hemorrhage: Emergency Management for Uncontrolled Vaginal Bleeding.,2022,United States,Jennifer,female,Mavis,female,"['Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy']"
Adenomyosis: a challenge in clinical gynecology.,2012,United States,Anne,female,Anne,female,"['Dysmenorrhea', 'Endometriosis', 'Endometrium', 'Female', 'Humans', 'Menorrhagia', 'Myometrium', 'Risk Factors']"
Avoiding Delays in Diagnosing Endometriosis.,2024,Jamaica,Alan,male,John,male,"['Female', 'Humans', 'Endometriosis']"
Early detection and treatment of postpartum haemorrhage: A game-changing strategy.,2023,India,Rakhi,female,Neerja,female,"['Humans', 'Female', 'Postpartum Hemorrhage', 'Pregnancy', 'Early Diagnosis', 'India']"
Pelvic endometriosis: US and MRI features.,2004,Italy,G,unknown,C,unknown,"['Endometriosis', 'Female', 'Humans', 'Magnetic Resonance Imaging', 'Ultrasonography']"
Obstetric Hemorrhage in the Rural Emergency Department: Rapid Response.,2017,United States,Anne,female,Anne,female,"['Emergency Nursing', 'Emergency Service, Hospital', 'Female', 'Hospitals, Rural', 'Humans', 'Nursing Staff, Hospital', 'Postpartum Hemorrhage', 'Pregnancy', 'Rural Health Services', 'Rural Population']"
"The Diagnostic Experiences of Women With Polycystic Ovary Syndrome (PCOS) in Ontario, Canada.",2021,Canada,Kendall,andy,Rachel,female,"['Adolescent', 'Female', 'Humans', 'Ontario', 'Polycystic Ovary Syndrome']"
Hemostatic biomarkers associated with postpartum hemorrhage: a systematic review and meta-analysis.,2023,France,Claire,female,Ingrid,female,"['Female', 'Pregnancy', 'Humans', 'Postpartum Hemorrhage', 'Hemostatics', 'Hemoglobins', 'Fibrinogen', 'Biomarkers']"
Family history of postpartum hemorrhage and the risk of postpartum hemorrhage after vaginal delivery.,2023,China,Jie-Fu,unknown,Dong-Zhi,andy,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Delivery, Obstetric']"
Digital postpartum hemorrhage management device (DPHMD).,2019,Ethiopia,Derartu,unknown,Gizeaddis,unknown,"['Diagnostic Techniques, Obstetrical and Gynecological', 'Female', 'Hemostatic Techniques', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy']"
Male polycystic ovary syndrome equivalent: A response to Di Guardo et al.,2020,Italy,Rossella,female,Aldo,male,"['Female', 'Fertility', 'Humans', 'Male', 'Polycystic Ovary Syndrome', 'Testosterone']"
Dextranomer/Hyaluronic Acid Gel Mimicking Endometrioma on Imaging.,2023,United States,Amanda,female,Suzanne,female,"['Female', 'Humans', 'Hyaluronic Acid', 'Endometriosis', 'Dextrans', 'Ureter']"
Polycystic ovary syndrome and antimüllerian hormone-can there be too much of a good thing?,2024,United States,Jessica,female,Jessica,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome', 'Anti-Mullerian Hormone', 'Infertility, Female']"
Early detection of intractable postpartum hemorrhage.,2025,Japan,Saori,female,Eiji,male,"['Female', 'Postpartum Hemorrhage', 'Humans', 'Early Diagnosis', 'Pregnancy', 'Adult', 'Vagina', 'Tomography, X-Ray Computed', 'Uterus', 'Uterine Artery Embolization']"
The Rotterdam criteria for polycystic ovary syndrome: evidence-based criteria?,2017,Australia,Rui,male,Ben,male,"['Evidence-Based Medicine', 'Female', 'Humans', 'Polycystic Ovary Syndrome', 'Practice Guidelines as Topic']"
Endometriosis biomarkers: Will codevelopment in academia-industry partnerships result in new and robust noninvasive diagnostic tests?,2019,Germany,Thomas,male,Arne,male,"['Biomarkers', 'Diagnostic Tests, Routine', 'Endometriosis', 'Female', 'Humans', 'Precision Medicine', 'Public-Private Sector Partnerships', 'Reproducibility of Results', 'Ultrasonography']"
Blood product replacement for postpartum hemorrhage.,2010,United States,Andrea,female,Brenda,female,"['Blood Transfusion', 'Factor VIIa', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy', 'Recombinant Proteins', 'Transfusion Reaction']"
Deep infiltrating endometriosis in young women.,2017,,M,unknown,Z,unknown,"['Adult', 'China', 'Dysmenorrhea', 'Dyspareunia', 'Endometriosis', 'Female', 'Gynecologic Surgical Procedures', 'Humans', 'Laparoscopy', 'Laparotomy', 'Pelvic Pain', 'Retrospective Studies', 'Severity of Illness Index', 'Symptom Assessment']"
Commentary.,2014,United States,Roger,male,Roger,male,"['Diagnostic Errors', 'Female', 'Humans', 'Pituitary ACTH Hypersecretion', 'Polycystic Ovary Syndrome']"
Reply to The 'Speckle Sign' in the Diagnosis of Posterior Compartment Endometriosis.,2022,United States,Patricia,female,Samuel,male,"['Endometriosis', 'Female', 'Humans']"
Diagnosis values of three-dimensional power Doppler ultrasonography in polycystic ovary syndrome and its relationship with serum sex hormone levels.,2023,China,Ling,andy,Wei,andy,"['Female', 'Humans', 'Polycystic Ovary Syndrome', 'Ultrasonography', 'Gonadal Steroid Hormones', 'Ultrasonography, Doppler']"
Deep Learning Algorithm for Automated Detection of Polycystic Ovary Syndrome Using Scleral Images.,2021,China,Wenqi,andy,Guoliang,andy,"['Adult', 'Algorithms', 'Deep Learning', 'Female', 'Humans', 'Image Processing, Computer-Assisted', 'Polycystic Ovary Syndrome', 'Sclera']"
Endometriosis: A Common and Commonly Missed and Delayed Diagnosis.,2021,,,unknown,,unknown,"['Delayed Diagnosis', 'Endometriosis', 'Female', 'Humans']"
Diagnosis of endometriosis.,2003,Poland,Robert,male,Antoni,male,"['Clinical Laboratory Techniques', 'Diagnostic Imaging', 'Diagnostic Techniques, Surgical', 'Endometriosis', 'Female', 'Humans', 'Physical Examination']"
Ultrasound evaluation of deeply infiltrative endometriosis: technique and interpretation.,2020,Brazil,Luciana,female,Luciana,female,"['Diagnostic Imaging', 'Endometriosis', 'Female', 'Humans', 'Pelvic Pain', 'Pelvis', 'Ultrasonography']"
Diagnostic findings in adenomyosis: a pictorial review on the major concerns.,2015,Italy,A,unknown,R,unknown,"['Adenomyosis', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Hysteroscopy', 'Infertility', 'Laparoscopy', 'Magnetic Resonance Imaging', 'Pregnancy']"
Understanding diagnostic delay for endometriosis: A scoping review using the social-ecological framework.,2025,,Jodie,female,Amie,female,"['Humans', 'Endometriosis', 'Female', 'Delayed Diagnosis']"
Endometriosis - how should we classify?,2022,Germany,Ludwig,male,Ludwig,male,"['Endometriosis', 'Female', 'Humans']"
JAMA patient page. Polycystic ovary syndrome.,2007,,Janet,female,Richard,male,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Review of clinical practice guidelines for postpartum hemorrhage according to AGREE II.,2023,China,Rongli,andy,Hui,andy,"['Female', 'Humans', 'Postpartum Hemorrhage', 'Practice Guidelines as Topic']"
The golden hour for postpartum hemorrhage: Results from a prospective cohort study.,2022,Brazil,Rodolfo,male,José,male,"['Female', 'Heart Rate', 'Humans', 'Parturition', 'Postpartum Hemorrhage', 'Pregnancy', 'Prospective Studies', 'Shock']"
Re: Thoracic endometriosis syndrome: CT and MRI features.,2014,France,P,unknown,M,unknown,"['Endometriosis', 'Female', 'Humans', 'Thoracic Diseases']"
Clinical evaluation during postpartum hemorrhage.,2010,United States,Joanne,female,John,male,"['Clinical Protocols', 'Female', 'Hospital Rapid Response Team', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy']"
Numerical rating scale for dysmenorrhea-related pain: a clinimetric study.,2022,Brazil,Guilherme,male,Mariana,female,"['Adult', 'Disability Evaluation', 'Dysmenorrhea', 'Female', 'Humans', 'Middle Aged', 'Pain Measurement', 'Patient Reported Outcome Measures', 'Psychometrics', 'Reproducibility of Results', 'Surveys and Questionnaires']"
Primary dysmenorrhea consensus guideline.,2005,,Guylaine,female,Magali,female,"['Diagnosis, Differential', 'Dysmenorrhea', 'Female', 'Humans', 'Quality of Life', 'Risk Factors']"
Review on Adolescent Endometriosis: Comment and Correct.,2021,Australia,Sonia,female,Aalia,unknown,"['Adolescent', 'Endometriosis', 'Female', 'Humans', 'Pelvic Pain']"
The utility of electronic health record data for identifying postpartum hemorrhage.,2021,United States,Mark,male,Roy,male,"['Delivery, Obstetric', 'Electronic Health Records', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy']"
Early Detection and Bundled Treatment for Postpartum Hemorrhage.,2023,Uganda,Adeline,female,Joseph,male,"['Female', 'Humans', 'Pregnancy', 'Antifibrinolytic Agents', 'Postpartum Hemorrhage', 'Tranexamic Acid', 'Combined Modality Therapy', 'Early Diagnosis']"
Development and Testing of the Dysmenorrhea Symptom Interference (DSI) Scale.,2021,United States,Chen,andy,Janet,female,"['Dysmenorrhea', 'Factor Analysis, Statistical', 'Female', 'Humans', 'Psychometrics', 'Reproducibility of Results', 'Surveys and Questionnaires']"
Response: Endometriosis and malignancy-The intriguing relationship.,2021,India,Alka,female,Vinotha,unknown,"['Endometriosis', 'Female', 'Humans', 'Ovarian Neoplasms']"
Machine Learning and Statistical Models to Predict Postpartum Hemorrhage.,2020,United States,Roger,male,Roger,male,"['Female', 'Humans', 'Machine Learning', 'Models, Statistical', 'Postpartum Hemorrhage', 'Pregnancy']"
Let there be light: does circadian rhythm disruption cause polycystic ovary syndrome?,2021,United States,Xiaojie,andy,Heather,female,"['Circadian Rhythm', 'Female', 'Humans', 'Polycystic Ovary Syndrome', 'Testosterone']"
Abdominal Wall Pain and Primary Dysmenorrhea: The Importance of Myofascial Trigger Points.,2023,,Mustafa,male,Fatih,male,"['Female', 'Humans', 'Trigger Points', 'Dysmenorrhea', 'Abdominal Wall', 'Myofascial Pain Syndromes', 'Fibromyalgia']"
Instruments to Identify Menstrual Complaints and Their Impact on Adolescents: A Systematic Review.,2024,Netherlands,Habibe,female,Judith,female,"['Humans', 'Adolescent', 'Female', 'Dysmenorrhea', 'Menorrhagia', 'Surveys and Questionnaires', 'Young Adult', 'Pain Measurement', 'Child']"
